step,avg_rent,avg_travel,share_low_income,gentr_dispersion,displacements,vacancy_rate,aff_units,mkt_units,total_units
0,499.3587923550148,15.785240472091264,0.44974999988756253,0.2379524207011685,2774,0.05660377358490565,3072,1168,4240
1,493.29174002225915,15.945521091124592,0.44899999988775,0.2640901502504175,2586,0.1071428571428571,3144,1336,4480
2,488.28157143191515,15.918013673346204,0.44899999988775,0.2941051752921535,2452,0.15254237288135597,3216,1504,4720
3,480.0063317107554,16.07072289290383,0.4482499998879375,0.29602086811352246,2292,0.19354838709677424,3288,1672,4960
4,473.80778205233065,16.093620311204322,0.44724999988818753,0.3132075000000001,2012,0.23076923076923073,3360,1840,5200
5,469.3020243422845,16.02196612509825,0.446499999888375,0.31072036727879815,2119,0.2647058823529411,3432,2008,5440
6,461.19458925728486,16.076994616360793,0.44599999988850003,0.3232716666666666,1909,0.295774647887324,3504,2176,5680
7,453.3223467599886,16.027534132072315,0.44599999988850003,0.3044244186046513,1834,0.32432432432432434,3576,2344,5920
8,442.8285595304711,15.987394090938658,0.44474999988881253,0.319968438538206,1796,0.35064935064935066,3648,2512,6160
9,432.39115329086985,16.022062487220886,0.4437499998890625,0.313082918739635,1772,0.375,3720,2680,6400
10,420.92986534586277,16.01495969998707,0.4427499998893125,0.309575456053068,1786,0.3893129770992366,3765,2785,6550
11,408.2424008917495,16.052361381834984,0.44224999988943753,0.3119785478547853,1765,0.3948562783661119,3783,2827,6610
12,397.2413527503557,15.976807119072484,0.4419999998895,0.30593811881188127,1768,0.3975903614457831,3792,2848,6640
13,385.2963213943214,16.00447817594815,0.44174999988956254,0.30350572831423905,1784,0.3975903614457831,3792,2848,6640
14,374.0259607094536,15.990973332381865,0.44174999988956254,0.28603333333333325,1774,0.3975903614457831,3792,2848,6640
15,363.1866551006818,15.964372797509796,0.4412499998896875,0.29112621359223323,1762,0.3975903614457831,3792,2848,6640
16,352.6066527135171,15.944120173089916,0.44099999988975,0.2922842190016103,1759,0.3975903614457831,3792,2848,6640
17,342.81496586748807,15.96230290405249,0.44174999988956254,0.2947777777777779,1767,0.3975903614457831,3792,2848,6640
18,334.65312184146865,15.941885680655439,0.44224999988943753,0.2771425120772947,1766,0.3975903614457831,3792,2848,6640
19,327.18722904059996,15.9080904631129,0.4427499998893125,0.28506370967741934,1774,0.3975903614457831,3792,2848,6640
20,320.7895230683765,16.01957108115832,0.4427499998893125,0.28249114331723024,1776,0.3975903614457831,3792,2848,6640
21,315.38199578750647,15.973332411773328,0.44174999988956254,0.2739767255216694,1755,0.3975903614457831,3792,2848,6640
22,310.0231811780349,16.02497262824724,0.44099999988975,0.2753130016051364,1685,0.3975903614457831,3792,2848,6640
23,305.4705829406407,16.036528585498825,0.4402499998899375,0.29457051282051283,1546,0.3975903614457831,3792,2848,6640
24,299.3321530537174,15.899587418811327,0.44049999988987504,0.3210429936305732,1202,0.3975903614457831,3792,2848,6640
25,296.7377323669281,15.893611544808579,0.43999999989,0.34381190476190493,1166,0.3975903614457831,3792,2848,6640
26,295.3624425832552,15.93384857392348,0.43899999989025,0.34750237717908095,1136,0.3975903614457831,3792,2848,6640
27,292.1822012450407,15.982288343396576,0.4382499998904375,0.37574842271293385,963,0.3975903614457831,3792,2848,6640
28,291.8931492677422,15.964965429893407,0.43799999989050004,0.3842804107424962,928,0.3975903614457831,3792,2848,6640
29,290.34346538361535,16.136475453984126,0.4377499998905625,0.40527373417721513,779,0.3975903614457831,3792,2848,6640
30,291.0099744510018,16.08740854640881,0.437499999890625,0.3990850393700788,798,0.3975903614457831,3792,2848,6640
31,292.26263606119346,16.26167600468504,0.43699999989075,0.3816874015748033,827,0.3975903614457831,3792,2848,6640
32,294.3024454543917,16.181531706453878,0.436499999890875,0.369275590551181,935,0.3975903614457831,3792,2848,6640
33,292.81424745354656,16.078908697040045,0.436499999890875,0.377991352201258,867,0.3975903614457831,3792,2848,6640
34,293.20068764721645,16.10049511674963,0.436499999890875,0.3713356807511736,932,0.3975903614457831,3792,2848,6640
35,293.37806953364384,15.9508786613304,0.43549999989112503,0.34954765624999995,960,0.3975903614457831,3792,2848,6640
36,293.5009960946569,15.981610327477505,0.43549999989112503,0.362380655226209,960,0.3975903614457831,3792,2848,6640
37,291.63210275738373,16.10487340179677,0.43549999989112503,0.3892274844720497,831,0.3975903614457831,3792,2848,6640
38,290.39306153538,16.091815091399955,0.43499999989125,0.40095665634674926,752,0.3975903614457831,3792,2848,6640
39,291.24267609935663,15.920003878135022,0.434499999891375,0.36091448382126345,830,0.3975903614457831,3792,2848,6640
40,291.97724585087104,15.927445560803285,0.43424999989143753,0.35020076923076926,872,0.3975903614457831,3792,2848,6640
41,291.59829330075786,16.00808104820606,0.4337499998915625,0.3568530769230768,864,0.3975903614457831,3792,2848,6640
42,291.3230373794179,15.91903217866668,0.433499999891625,0.3682907692307692,845,0.3975903614457831,3792,2848,6640
43,292.0605745380123,16.087335836330983,0.432499999891875,0.34982542113323123,886,0.3975903614457831,3792,2848,6640
44,292.6563399271008,16.11944960107794,0.431999999892,0.3369295558958654,958,0.3975903614457831,3792,2848,6640
45,290.9724748042117,16.112665135585605,0.4312499998921875,0.3401028963414635,846,0.3975903614457831,3792,2848,6640
46,290.1709437973078,16.05550974312631,0.43099999989225,0.36045357686453583,763,0.3975903614457831,3792,2848,6640
47,288.8370381255473,16.119352720581787,0.42999999989250004,0.38244072948328256,616,0.3975903614457831,3792,2848,6640
48,289.1280756648566,16.12485292766875,0.42924999989268753,0.3916312217194571,555,0.3975903614457831,3792,2848,6640
49,290.71351036463426,16.07615574165915,0.42874999989281254,0.3838456325301204,671,0.3975903614457831,3792,2848,6640
50,290.8200341225523,16.113125327023123,0.42874999989281254,0.3892028657616893,651,0.3975903614457831,3792,2848,6640
51,293.14025967557285,16.006189403918324,0.4282499998929375,0.35216691729323313,841,0.3975903614457831,3792,2848,6640
52,292.7745352049643,16.012517611692946,0.426499999893375,0.3554489489489491,771,0.3975903614457831,3792,2848,6640
53,293.4618957198927,15.904981783948267,0.42624999989343754,0.33638772455089816,888,0.3975903614457831,3792,2848,6640
54,292.4109259413604,15.950361894335735,0.425499999893625,0.3556522388059702,774,0.3975903614457831,3792,2848,6640
55,293.19809769187736,15.882918079402092,0.424499999893875,0.3374052238805969,899,0.3975903614457831,3792,2848,6640
56,291.9085609882762,16.054441324044475,0.42499999989375004,0.36138524590163934,778,0.3975903614457831,3792,2848,6640
57,291.97839837517,15.944245019348864,0.4247499998938125,0.36054613095238086,748,0.3975903614457831,3792,2848,6640
58,291.9311536727801,16.11654971976781,0.42374999989406253,0.3625786350148369,803,0.3975903614457831,3792,2848,6640
59,292.4499729709857,16.01266860810899,0.423999999894,0.3503293943870015,812,0.3975903614457831,3792,2848,6640
60,291.95561898830164,16.056810653170956,0.4227499998943125,0.3633595588235293,772,0.3975903614457831,3792,2848,6640
61,289.9967226782111,16.13275374506708,0.42124999989468753,0.3860036656891497,569,0.3975903614457831,3792,2848,6640
62,290.5796658847195,16.013917188528197,0.4222499998944375,0.36474853801169593,630,0.3975903614457831,3792,2848,6640
63,289.9644344741059,16.139927675589938,0.42249999989437503,0.3782299270072994,533,0.3975903614457831,3792,2848,6640
64,290.2437194362647,16.079477655711248,0.4227499998943125,0.37049854227405254,554,0.3975903614457831,3792,2848,6640
65,289.5635186964446,16.10339201689342,0.4207499998948125,0.3850861070911721,436,0.3975903614457831,3792,2848,6640
66,289.6197537424255,16.154571271593387,0.4197499998950625,0.39243125904486265,374,0.3975903614457831,3792,2848,6640
67,290.3729066398743,16.141794115631043,0.41874999989531253,0.3930520984081042,410,0.3975903614457831,3792,2848,6640
68,292.92165666424694,16.032605285644372,0.4179999998955,0.3330963768115942,674,0.3975903614457831,3792,2848,6640
69,293.68306813865826,15.84163077258032,0.418499999895375,0.31770043415340077,776,0.3975903614457831,3792,2848,6640
70,291.80020711204065,15.93117341103448,0.4167499998958125,0.3422366522366521,594,0.3975903614457831,3792,2848,6640
71,292.3503918000138,15.864099035648207,0.4167499998958125,0.3316772334293947,657,0.3975903614457831,3792,2848,6640
72,290.7227215123415,15.84092393242748,0.415499999896125,0.3547965616045846,527,0.3975903614457831,3792,2848,6640
