step,avg_rent,avg_travel,share_low_income,gentr_dispersion,displacements,vacancy_rate,aff_units,mkt_units,total_units
0,477.00204638517954,15.858036943665109,0.4492499998876875,0.2821302170283807,2674,0.05660377358490565,3072,1168,4240
1,465.37648621412245,15.989209832419807,0.44849999988787503,0.32238981636060093,2355,0.1071428571428571,3144,1336,4480
2,462.53235347552743,16.070776541979466,0.44849999988787503,0.3316413043478261,2151,0.15254237288135597,3216,1504,4720
3,456.58075268549123,16.13430184493124,0.447999999888,0.3405049916805325,2053,0.19354838709677424,3288,1672,4960
4,451.6723723781201,16.136080287513927,0.447999999888,0.3434528145695366,1932,0.23076923076923073,3360,1840,5200
5,445.25210583220337,16.161191794789445,0.4477499998880625,0.3416272727272728,1843,0.2647058823529411,3432,2008,5440
6,440.4847909039706,16.114487709539265,0.447499999888125,0.3267582508250825,1801,0.295774647887324,3504,2176,5680
7,432.7336366128142,16.133265671880707,0.4477499998880625,0.31660526315789483,1815,0.32432432432432434,3576,2344,5920
8,422.4868939154597,16.035965034854947,0.44699999988825,0.3158226600985222,1798,0.35064935064935066,3648,2512,6160
9,412.51841392695235,16.060541430279496,0.446499999888375,0.32326190476190486,1793,0.35691318327974275,3666,2554,6220
10,401.8537630590491,16.106234241900932,0.445499999888625,0.3143384991843392,1781,0.3690851735015773,3702,2638,6340
11,392.7459566679513,16.08391767316616,0.445499999888625,0.2972943089430895,1786,0.375,3720,2680,6400
12,382.72991434522635,16.07002927808595,0.4437499998890625,0.2953660714285715,1779,0.3836671802773498,3747,2743,6490
13,371.6505126916101,16.10361772891902,0.4432499998891875,0.28916019417475725,1786,0.38650306748466257,3756,2764,6520
14,361.30077765751196,16.08740672362651,0.4432499998891875,0.2925817152103559,1774,0.3893129770992366,3765,2785,6550
15,351.429381752971,16.070546871359873,0.4419999998895,0.28719806763285016,1767,0.3893129770992366,3765,2785,6550
16,342.05884885271087,16.079608447179293,0.4412499998896875,0.2709355877616748,1774,0.3893129770992366,3765,2785,6550
17,332.56923935095557,16.09297297115459,0.44049999988987504,0.27102884615384615,1756,0.3948562783661119,3783,2827,6610
18,325.30454852789535,16.060875719951984,0.4397499998900625,0.26730701754385955,1767,0.3948562783661119,3783,2827,6610
19,318.6341393561773,16.006472666613963,0.43924999989018754,0.26303030303030306,1760,0.3948562783661119,3783,2827,6610
20,312.02154507039484,16.106477490308226,0.4387499998903125,0.27614794303797474,1682,0.3948562783661119,3783,2827,6610
21,306.6141876286476,16.128089035706044,0.4382499998904375,0.28832649842271296,1512,0.3948562783661119,3783,2827,6610
22,300.2826171938313,16.195501197762084,0.43674999989081253,0.3265875394321768,1256,0.3948562783661119,3783,2827,6610
23,296.109253626131,16.286650646064253,0.436499999890875,0.3614543307086614,1079,0.3948562783661119,3783,2827,6610
24,293.51768893916153,16.115869831513887,0.43499999989125,0.3786519685039369,916,0.3948562783661119,3783,2827,6610
25,291.9854616251234,16.11290139368488,0.4347499998913125,0.3855211598746082,929,0.3948562783661119,3783,2827,6610
26,290.52260983370604,16.12309707585872,0.4337499998915625,0.3607217868338558,929,0.3948562783661119,3783,2827,6610
